,Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
18,"SHUTES, Miss Elizabeth Weed",1871.0,1949.0,40,Female,1st Class Passenger Servant,17582,£153             9s             3d,C125,Southampton,Governess,SAVED,3,,American,https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-weed-shutes.html
19,"MONTVILA, Fr Juozas",1885.0,1912.0,27,Male,2nd Class Passenger,211536,£13.00,,Southampton,Priest / Minister,LOST,,,Lithuanian,https://www.encyclopedia-titanica.org/titanic-victim/juozas-montvila.html
20,"BRAUND, Mr Owen Harris",1889.0,1912.0,22,Male,3rd Class Passenger,21171,£7             5s,,Southampton,Ironmonger,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/owen-harris-braund.html
21,"NAṣR ALLāH, Mr Niqūlā Khalīl",1883.0,1912.0,29,Male,2nd Class Passenger,237736,£30             1s             5d,,Cherbourg,,LOST,,43.0,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/nicholas-nasser.html
22,"BEATTIE, Mr Thomson",1875.0,1912.0,36,Male,1st Class Passenger,13050,£75             4s             10d,,Southampton,Landowner,LOST,A,331.0,Canadian,https://www.encyclopedia-titanica.org/titanic-victim/thomson-beattie.html
23,"DE MULDER, Mr Theodoor",1881.0,1954.0,30,Male,3rd Class Passenger,345774,£9             10s,,Southampton,,SAVED,11,,Belgian,https://www.encyclopedia-titanica.org/titanic-survivor/theodoor-de-mulder.html
24,"PETTERSSON, Mr Johan Emil",1886.0,1912.0,25,Male,3rd Class Passenger,347076,£7             15s             6d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/johan-emil-pettersson.html
25,"ENANDER, Mr Ingvar",1890.0,1912.0,21,Male,2nd Class Passenger,236854,£13.00,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/ingvar-enander.html
26,"OSéN, Mr Olaf Elon",1895.0,1912.0,16,Male,3rd Class Passenger,7534,£9             4s             4d,,Southampton,Farm Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/olaf-elon-osen.html
27,"LAHHūD ISHAQ MU'AWWAD, Mr Sarkīs",1877.0,1912.0,35,Male,3rd Class Passenger,2624,£7             4s             6d,,Cherbourg,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/sarkis-lahoud-ishaq-mowad.html
28,"AL-BA'QLīNī, Mrs Laṭīfah",1888.0,1962.0,23,Female,3rd Class Passenger,2666,£19             5s             2d,,Cherbourg,,SAVED,C,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/latifa-baclini.html
29,"HEAD, Mr Christopher",1869.0,1912.0,42,Male,1st Class Passenger,113038,£42             10s,B11,Southampton,Politician,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/christopher-head.html
30,"ABELSETH, Mr Olaus Jørgensen",1886.0,1980.0,25,Male,3rd Class Passenger,348122,£7             13s,[F] G63,Southampton,Farmer,SAVED,A,,Norwegian,https://www.encyclopedia-titanica.org/titanic-survivor/olaus-jorgensen-abelseth.html
31,"BONNELL, Miss Caroline",1882.0,1950.0,30,Female,1st Class Passenger,36928,£164             17s             4d,C7,Southampton,,SAVED,8,,American,https://www.encyclopedia-titanica.org/titanic-survivor/caroline-bonnell.html
32,"CORNELL, Mrs Malvina Helen",1856.0,1941.0,55,Female,1st Class Passenger,11770,£25             14s             10d,C101,Southampton,,SAVED,2,,American,https://www.encyclopedia-titanica.org/titanic-survivor/malvina-helen-cornell.html
33,"MURDLIN, Mr Joseph",1890.0,1912.0,22,Male,3rd Class Passenger,3235,£8             1s,,Southampton,Chemist,LOST,,,Russian,https://www.encyclopedia-titanica.org/titanic-victim/joseph-murdlin.html
34,"ROSBLOM, Miss Salli Helena",1910.0,1912.0,2,Female,3rd Class Passenger,370129,£20             4s             3d,,Southampton,,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/salli-helena-rosblom.html
35,"TANNūS, Mrs Thamīn",1895.0,1974.0,16,Female,3rd Class Passenger,2625,£8             10s             4d,,Cherbourg,,SAVED,14,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/thamine-thelma-thomas.html
36,"RIGHINI, Mr Sante",1883.0,1912.0,28,Male,1st Class Passenger Servant,17760,£135             12s             8d,,Cherbourg,Servant,LOST,,232.0,Italian,https://www.encyclopedia-titanica.org/titanic-victim/sante-righini.html
37,"HIPPACH, Miss Gertrude Isabelle",1894.0,1974.0,17,Female,1st Class Passenger,111361,£57             19s             7d,B18,Cherbourg,,SAVED,4,,American,https://www.encyclopedia-titanica.org/titanic-survivor/jean-gertrude-hippach.html
38,"KHALīL 'ATTA ALLāH, Mr Sulaymān",1885.0,1912.0,27,Male,3rd Class Passenger,2672,£7             4s             6d,,Cherbourg,Farm Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/khalil-saad.html
39,"CHARTERS, Mr David",1891.0,1912.0,20,Male,3rd Class Passenger,13032,£7             14s             8d,,Queenstown,General Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/david-charters.html
40,"RHEIMS, Mr George Alexander Lucien",1879.0,1963.0,33,Male,1st Class Passenger,17607,£39             12s,,Cherbourg,Businessman,SAVED,A,,American,https://www.encyclopedia-titanica.org/titanic-survivor/george-rheims.html
41,"YONKOV, Mr Lazar “Lalyo”",1889.0,1912.0,23,Male,3rd Class Passenger,349204,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/lazar-yonkov.html
42,"HOLD, Mr Stephen",1868.0,1912.0,44,Male,2nd Class Passenger,26707,£26.00,,Southampton,Clerk,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/stephen-hold.html
43,"PLOTCHARSKY, Mr Vasil",1885.0,1912.0,27,Male,3rd Class Passenger,349227,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/vasil-plotcharsky.html
44,"ODELL, Miss Kate",,,,Female,1st Class Passenger Cross Channel Passenger,84,£24.00,,Southampton,,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/kate-odell.html
45,"SMILJANIć, Mr Mile",1875.0,1912.0,37,Male,3rd Class Passenger,315037,£8             13s             3d,,Southampton,Farm Labourer,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/mile-smiljanic.html
46,"SAGE, Miss Stella Anne",1891.0,1912.0,20,Female,3rd Class Passenger,2343,£69             11s,,Southampton,Dressmaker / Couturiere,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/stella-anne-sage.html
47,"BISHOP, Mrs Helen Margaret",1892.0,1916.0,19,Female,1st Class Passenger,11967,£91             1s             7d,B49,Cherbourg,,SAVED,7,,American,https://www.encyclopedia-titanica.org/titanic-survivor/helen-bishop.html
48,"DAVISON, Mr Thomas Henry",1880.0,1912.0,32,Male,3rd Class Passenger,386525,£16             2s,,Southampton,Blacksmith,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-henry-davison.html
49,"COOK, Mr Jacob",1869.0,1912.0,43,Male,3rd Class Passenger,3536,£8             1s,,Southampton,Wood Carver,LOST,,,Russian,https://www.encyclopedia-titanica.org/titanic-victim/jacob-cook.html
50,"CARTER, Rev. Ernest Courtenay",1858.0,1912.0,54,Male,2nd Class Passenger,244252,£26.00,,Southampton,Priest / Minister,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ernest-courtenay-carter.html
51,"ILIEV, Mr Ilyo",1880.0,1912.0,32,Male,3rd Class Passenger,349220,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/ilyo-iliev.html
52,"ICARD, Miss Rose Amélie",1872.0,1964.0,39,Female,1st Class Passenger Servant,113572,£80.00,B28 ?,Southampton,Personal Maid,SAVED,6,,French,https://www.encyclopedia-titanica.org/titanic-survivor/amelia-icard.html
53,"PALMQUIST, Mr Oskar Leander Johansson",1885.0,1925.0,26,Male,3rd Class Passenger,347070,£7             15s             6d,,Southampton,,SAVED,15,,Swedish,https://www.encyclopedia-titanica.org/titanic-survivor/oskar-palmquist.html
54,"MELLINGER, Mrs Elizabeth Anne",1870.0,1962.0,42,Female,2nd Class Passenger,250644,£19             10s,,Southampton,Servant,SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-anne-mellinger.html
55,"MäENPää, Mr Matti Alexanteri",1889.0,1912.0,22,Male,3rd Class Passenger,3101275,£7             2s             6d,,Southampton,,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/matti-alexanteri-maenpaa.html
56,"JOHNSTON, Mr Andrew Emslie",1876.0,1912.0,35,Male,3rd Class Passenger,6607,£23             9s,,Southampton,Plumber,LOST,,,Scottish,https://www.encyclopedia-titanica.org/titanic-victim/andrew-emslie-johnston.html
57,"BURKE, Mr Jeremiah",1893.0,1912.0,19,Male,3rd Class Passenger,365222,£6             15s,,Queenstown,Farm Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/jeremiah-burke.html
58,"NAKID, Mrs Wadi'ah",1892.0,1963.0,19,Female,3rd Class Passenger,2653,£15             14s             10d,,Cherbourg,,SAVED,,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/waika-mary-nakid.html
59,"SADOWITZ, Mr Henry",1895.0,1912.0,17,Male,3rd Class Passenger,1855,£7             11s             10d,,Southampton,Fur Cutter,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/harry-sadowitz.html
60,"MAYNé, Mlle Berthe Antonine",1887.0,1962.0,24,Female,1st Class Passenger,17482,£49             10s             1d,C90,Cherbourg,Singer,SAVED,6,,Belgian,https://www.encyclopedia-titanica.org/titanic-survivor/bertha-mayne.html
61,"ḤANNā, Mr Mubārik Sulaymān Abī Āsī",1885.0,1952.0,27,Male,3rd Class Passenger,2663,£7             4s             7d,,Cherbourg,,SAVED,15,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/borak-hannah.html
62,"OREšKOVIć, Miss Jelka",1881.0,1912.0,30,Female,3rd Class Passenger,315085,£8             13s             3d,,Southampton,Farmer,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/jelka-oreskovic.html
63,"ANDERSSON, Mr Anders Johan",1873.0,1912.0,39,Male,3rd Class Passenger,347082,£31             5s             6d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/anders-andersson.html
64,"WILLIAMS, Mr Fletcher Fellowes Lambert",1868.0,1912.0,43,Male,1st Class Passenger,113510,£35.00,C128,Southampton,Businessman,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/fletcher-lambert-williams.html
65,"THEOBALD, Mr Thomas Leonard",1878.0,1912.0,34,Male,3rd Class Passenger,363294,£8             1s,,Southampton,Groom,LOST,,176.0,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-leonard-theobald.html
66,"GUEST, Mr Stephen",1889.0,1912.0,22,Male,3rd Class Passenger,376563,£8             1s,,Southampton,General Labourer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robert-stephen-guest.html
67,"SAMAAN, Mr Elias",1895.0,1912.0,17,Male,3rd Class Passenger,2662,£21             13s             7d,,Cherbourg,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/elias-samaan.html
68,"IVYANOV, Mr Kostya",1892.0,1912.0,20,Male,3rd Class Passenger,349201,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/kostya-ivyanov.html
69,"CONNORS, Mr Patrick",1846.0,1912.0,66,Male,3rd Class Passenger,370369,£7             15s,,Queenstown,Farm Labourer,LOST,,171.0,Irish,https://www.encyclopedia-titanica.org/titanic-victim/patrick-connors.html
70,"HARRINGTON, Mr Charles Henry",1875.0,1912.0,37,Male,1st Class Passenger Servant,113796,£42             8s,,Southampton,Servant,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-harrington.html
71,"PEARCE, Mr Ernest",1880.0,1912.0,31,Male,3rd Class Passenger,343271,£7.00,,Southampton,Farmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ernest-pearce.html
72,"BONNELL, Miss Elizabeth",1850.0,1936.0,61,Female,1st Class Passenger,113783,£26             11s,C103,Southampton,,SAVED,8,,English,https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-bonnell.html
73,"STANEFF, Mr Ivan",1889.0,1912.0,23,Male,3rd Class Passenger,349208,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/ivan-staneff.html
74,"LAITINEN, Miss Kristina Sofia",1873.0,1912.0,38,Female,3rd Class Passenger,4135,£9             11s             9d,,Southampton,Housekeeper,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/kristina-sofia-laitinen.html
75,"COUTTS, Mrs Winnie",1876.0,1960.0,36,Female,3rd Class Passenger,37671,£15             18s,,Southampton,,SAVED,2,,"Irish, English",https://www.encyclopedia-titanica.org/titanic-survivor/winnie-coutts.html
76,"COLLANDER, Mr Erik Gustaf",1884.0,1912.0,27,Male,2nd Class Passenger,248740,£13.00,,Southampton,,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/erik-gustaf-collander.html
77,"KIERNAN, Mr Philip",1890.0,1912.0,22,Male,3rd Class Passenger,367229,£7             15s,,Queenstown,General Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/philip-kiernan.html
78,"GLYNN, Miss Mary Agatha",1893.0,1955.0,18,Female,3rd Class Passenger,335677,£7             15s,,Queenstown,Maid,SAVED,13,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/mary-agatha-glynn.html
79,"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",1871.0,1912.0,40,Male,3rd Class Passenger,347077,£31             7s             9d,,Southampton,General Labourer,LOST,,142.0,"Swedish,American",https://www.encyclopedia-titanica.org/titanic-victim/carl-asplund.html
80,"THORNEYCROFT, Mrs Florence Kate",1879.0,1950.0,32,Female,3rd Class Passenger,376564,£16             2s,,Southampton,,SAVED,10,,English,https://www.encyclopedia-titanica.org/titanic-survivor/florence-kate-thorneycroft.html
81,"GUGGENHEIM, Mr Benjamin",1865.0,1912.0,46,Male,1st Class Passenger,17593,£79             4s,B-82,Cherbourg,Businessman,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/benjamin-guggenheim.html
82,"KELLY, Mr James",1892.0,1912.0,19,Male,3rd Class Passenger,363592,£8             1s,,Southampton,Painter & Decorator,LOST,,,Scottish,https://www.encyclopedia-titanica.org/titanic-victim/james-kelly.html
83,"ASHBY, Mr John",1854.0,1912.0,57,Male,2nd Class Passenger,244346,£13.00,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-ashby.html
84,"GALLAGHER, Mr Martin",1883.0,1912.0,29,Male,3rd Class Passenger,36864,£7             14s             10d,,Queenstown,Farm Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/martin-gallagher.html
85,"HARRIS, Mr George",1850.0,1919.0,62,Male,2nd Class Passenger,752,£10             10s,,Southampton,,SAVED,15,,English,https://www.encyclopedia-titanica.org/titanic-survivor/george-harris.html
86,"WRIGHT, Miss Marion",1885.0,1965.0,26,Female,2nd Class Passenger,220844,£13             10s,,Southampton,,SAVED,9,,English,https://www.encyclopedia-titanica.org/titanic-survivor/marion-wright.html
87,"VAN IMPE, Mrs Rosalie Paula",1881.0,1912.0,30,Female,3rd Class Passenger,345773,£24             3s,,Southampton,,LOST,,,Belgian,https://www.encyclopedia-titanica.org/titanic-victim/rosalie-paula-van-impe.html
88,"RIIHIVUORI, Miss Susanna Juhantytär",1889.0,1912.0,22,Female,3rd Class Passenger,3101295,£39             13s             9d,,Southampton,,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/susanna-juhantytar-sanni-riihivuori.html
89,"FORD, Miss Robina Maggie",1904.0,1912.0,7,Female,3rd Class Passenger,6608,£34             7s             6d,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robina-maggie-ford.html
90,"CHAFFEE, Mr Herbert Fuller",1865.0,1912.0,46,Male,1st Class Passenger,5734,£61             3s             6d,E31,Southampton,,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/herbert-fuller-chaffee.html
91,"TU'MAH, Miss Mariyam",1902.0,1953.0,9,Female,3rd Class Passenger,2650,£15             4s             11d,,Cherbourg,,SAVED,C,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/maria-youssef-mary-thomas-touma.html
92,"DODGE, Dr Washington",1859.0,1919.0,52,Male,1st Class Passenger,33638,£81             17s             2d,A34,Southampton,Politician,SAVED,13,,American,https://www.encyclopedia-titanica.org/titanic-survivor/washington-dodge.html
93,"WOODWARD, Mr John Wesley",1879.0,1912.0,32,Male,2nd Class Passenger Musician,250654,,E,Southampton,Musician,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-wesley-woodward.html
94,"CHRISTY, Mrs Alice Frances",1860.0,1939.0,52,Female,2nd Class Passenger,237789,£30.00,,Southampton,,SAVED,12,,English,https://www.encyclopedia-titanica.org/titanic-survivor/alice-frances-christy.html
95,"LINES, Miss Mary Conover",1895.0,1975.0,16,Female,1st Class Passenger,17592,£39             8s,D28,Cherbourg,,SAVED,9,,American,https://www.encyclopedia-titanica.org/titanic-survivor/mary-conover-lines.html
96,"SANDSTRöM, Miss Marguerite Rut",1908.0,1963.0,4,Female,3rd Class Passenger,9549,£16             14s,G6,Southampton,,SAVED,13,,"Swedish,American",https://www.encyclopedia-titanica.org/titanic-survivor/marguerite-rut-sandstrom.html
97,"NESSON, Mr Israel",1886.0,1912.0,26,Male,2nd Class Passenger,244368,£13.00,,Southampton,Electrician,LOST,,,Russian,https://www.encyclopedia-titanica.org/titanic-victim/israel-nesson.html
98,"CLARK, Mr Walter Miller",1884.0,1912.0,27,Male,1st Class Passenger,13508,£136             15s             7d,C89,Cherbourg,,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/walter-miller-clark.html
99,"MOUSSA, Mrs Mantoura Boulos",1877.0,,35,Female,3rd Class Passenger,2626,£7             4s             7d,,Cherbourg,Housewife,SAVED,,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/mantoura-boulos-moussa.html
100,"JARVIS, Mr Denzil John",1865.0,1912.0,46,Male,2nd Class Passenger,237565,£15.00,,Southampton,Engineer,LOST,,,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/denzil-john-jarvis.html
101,"BADT, Mr Mohamed",1872.0,1912.0,40,Male,3rd Class Passenger,2623,£7             4s             6d,,Cherbourg,Farmer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/mohamed-badt.html
102,"PARRISH, Mrs Lutie Davis",1852.0,1930.0,59,Female,2nd Class Passenger,230433,£26.00,,Southampton,,SAVED,12,,American,https://www.encyclopedia-titanica.org/titanic-survivor/lutie-davis-parrish.html
103,"GAVEY, Mr Laurence",1886.0,1912.0,26,Male,2nd Class Passenger,31028,£10             10s,,Southampton,,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/laurence-gavey.html
104,"GASKELL, Mr William Alfred",1893.0,1912.0,19,Male,2nd Class Passenger,239865,£26.00,,Southampton,Cooper,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/alfred-gaskell.html
105,"CONNOLLY, Miss Kate",1870.0,1912.0,41,Female,3rd Class Passenger,330972,£7             12s             7d,,Queenstown,,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/kate-connolly-2.html
106,"LARSSON, Mr Bengt Edvin",1882.0,1912.0,29,Male,3rd Class Passenger,347067,£7             15s             6d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/bengt-edvin-larsson.html
107,"HARDER, Mrs Dorothy",1890.0,1926.0,21,Female,1st Class Passenger,11765,£55             8s             10d,E50,Cherbourg,,SAVED,5,,American,https://www.encyclopedia-titanica.org/titanic-survivor/dorothy-harder.html
108,"JENSEN, Mr Hans Peder",1892.0,1912.0,20,Male,3rd Class Passenger,350050,£7             17s             1d,,Southampton,,LOST,,,Danish,https://www.encyclopedia-titanica.org/titanic-victim/hans-peder-jensen.html
109,"SHARP, Mr Percival",1882.0,1912.0,29,Male,2nd Class Passenger,244358,£26.00,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/percival-sharp.html
110,"SHELLARD, Mr Frederick Blainey",1857.0,1912.0,55,Male,3rd Class Passenger,6212,£15             2s,,Southampton,Painter & Decorator,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-blainey-shellard.html
111,"KILGANNON, Mr Thomas",1890.0,1912.0,21,Male,3rd Class Passenger,36865,£7             14s             9d,,Queenstown,Farm Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/thomas-kilgannon.html
112,"MAY, Mr Stanley",,,,Male,1st Class Passenger Cross Channel Passenger,84,£24.00,,Southampton,,,,,,https://www.encyclopedia-titanica.org/titanic-biography/stanley-may.html
113,"ENDRES, Miss Caroline Louise",1872.0,1964.0,39,Female,1st Class Passenger Servant,17757,£247             10s             6d,C45,Cherbourg,Nurse,SAVED,4,,American,https://www.encyclopedia-titanica.org/titanic-survivor/caroline-endres.html
114,"STäHELIN-MAEGLIN, Dr Max",1880.0,1968.0,32,Male,1st Class Passenger,13214,£30             10s,B50,Southampton,Lawyer,SAVED,3,,Swiss,https://www.encyclopedia-titanica.org/titanic-survivor/max-stahelin-maeglin.html
115,"LEINONEN, Mr Antti Gustaf",1880.0,1912.0,32,Male,3rd Class Passenger,3101292,£7             18s             6d,,Southampton,,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/antti-gustaf-leinonen.html
116,"GIEGER, Miss Amalie Henriette",1876.0,1933.0,35,Female,1st Class Passenger Servant,113503,£211             10s,C130 ?,Southampton,Personal Maid,SAVED,4,,German,https://www.encyclopedia-titanica.org/titanic-survivor/emily-gieger.html
117,"LINEHAN, Mr Michael",1890.0,1912.0,21,Male,3rd Class Passenger,330971,£7             17s             7d,,Queenstown,Farm Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/michael-linehan.html
118,"ILMAKANGAS, Miss Pieta Sofia",1887.0,1912.0,25,Female,3rd Class Passenger,3101271,£7             18s             6d,,Southampton,Servant,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/pieta-sofia-ilmakangas.html
119,"COMPTON, Mrs Mary Eliza",1847.0,1930.0,64,Female,1st Class Passenger,17756,£83             3s             2d,E45,Cherbourg,,SAVED,14,,American,https://www.encyclopedia-titanica.org/titanic-survivor/mary-eliza-compton.html
120,"MCCARTHY, Miss Catherine",1887.0,1948.0,24,Female,3rd Class Passenger,383123,£7             15s,,Queenstown,Domestic Servant,SAVED,16,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/catherine-katie-mccarthy.html
121,"CLARK, Mrs Virginia Estelle",1885.0,1958.0,26,Female,1st Class Passenger,13508,£136             15s             7d,C89,Cherbourg,,SAVED,4,,American,https://www.encyclopedia-titanica.org/titanic-survivor/virginia-clark.html
